Microsoft,JPMorgan,Walmart,Salesforce,McDonald's,Amazon,NVIDIA,Caterpillar,CocaCola,Google
377.42999267578125,153.5399932861328,156.05999755859375,224.3800048828125,282.5400085449219,146.74000549316406,477.760009765625,247.36000061035156,58.56999969482422,136.69000244140625
378.6099853515625,153.19000244140625,156.77000427246094,224.7899932861328,281.8399963378906,147.72999572753906,482.4200134277344,247.38999938964844,58.459999084472656,136.41000366210938
382.70001220703125,153.5399932861328,158.63999938964844,224.9199981689453,282.0899963378906,147.02999877929688,478.2099914550781,247.5,58.58000183105469,137.1999969482422
378.8500061035156,154.32000732421875,156.0800018310547,230.35000610351562,280.3800048828125,146.32000732421875,481.3999938964844,249.4499969482422,58.22999954223633,134.99000549316406
378.9100036621094,156.0800018310547,155.69000244140625,251.89999389648438,281.8399963378906,146.08999633789062,467.70001220703125,250.72000122070312,58.439998626708984,132.52999877929688
374.510009765625,156.83999633789062,154.33999633789062,260.0,285.9599914550781,147.02999877929688,467.6499938964844,256.760009765625,58.63999938964844,131.86000061035156
369.1400146484375,157.99000549316406,154.3000030517578,250.66000366210938,286.1300048828125,144.83999633789062,455.1000061035156,254.75,58.56999969482422,129.27000427246094
372.5199890136719,157.97000122070312,155.72999572753906,251.02000427246094,286.5400085449219,146.8800048828125,465.6600036621094,255.19000244140625,58.65999984741211,130.99000549316406
368.79998779296875,156.30999755859375,154.0399932861328,249.1300048828125,286.8599853515625,144.52000427246094,455.0299987792969,255.97000122070312,58.599998474121094,130.02000427246094
370.95001220703125,156.7899932861328,152.4600067138672,248.85000610351562,286.7900085449219,146.8800048828125,465.9599914550781,257.4100036621094,58.7400016784668,136.92999267578125
374.2300109863281,158.52000427246094,150.86000061035156,250.80999755859375,285.5299987792969,147.4199981689453,475.05999755859375,259.5,58.61000061035156,134.99000549316406
371.29998779296875,159.10000610351562,151.24000549316406,252.10000610351562,289.1499938964844,145.88999938964844,466.2699890136719,260.9200134277344,59.040000915527344,133.2899932861328
374.3800048828125,160.52000427246094,151.36000061035156,256.45001220703125,291.4200134277344,147.47999572753906,476.57000732421875,261.42999267578125,59.41999816894531,132.52000427246094
374.3699951171875,161.05999755859375,154.0500030517578,257.32000732421875,295.92999267578125,148.83999633789062,480.8800048828125,267.9700012207031,59.93000030517578,132.57000732421875
365.92999267578125,163.99000549316406,152.1699981689453,257.2099914550781,290.0199890136719,147.4199981689453,483.5,285.1700134277344,59.040000915527344,131.94000244140625
