Date,Apple,Google,Microsoft,Amazon,Tesla,Meta,NVIDIA,PayPal,Netflix,Visa
2023-11-06,179.22999572753906,130.25,356.5299987792969,139.74000549316406,219.27000427246094,315.79998779296875,457.510009765625,54.619998931884766,434.739990234375,243.49000549316406
2023-11-07,181.82000732421875,130.97000122070312,360.5299987792969,142.7100067138672,222.17999267578125,318.82000732421875,459.54998779296875,54.630001068115234,434.6099853515625,244.77000427246094
2023-11-08,182.88999938964844,131.83999633789062,363.20001220703125,142.0800018310547,222.11000061035156,319.7799987792969,465.739990234375,55.08000183105469,436.6499938964844,243.91000366210938
2023-11-09,182.41000366210938,130.24000549316406,360.69000244140625,140.60000610351562,209.97999572753906,320.54998779296875,469.5,54.279998779296875,435.1499938964844,241.63999938964844
2023-11-10,186.39999389648438,132.58999633789062,369.6700134277344,143.55999755859375,214.64999389648438,328.7699890136719,483.3500061035156,54.77000045776367,447.239990234375,245.25
2023-11-13,184.8000030517578,132.08999633789062,366.67999267578125,142.58999633789062,223.7100067138672,329.19000244140625,486.20001220703125,54.38999938964844,444.6199951171875,244.6699981689453
2023-11-14,187.44000244140625,133.6199951171875,370.2699890136719,145.8000030517578,237.41000366210938,336.30999755859375,496.55999755859375,56.68000030517578,448.6499938964844,246.94000244140625
2023-11-15,188.00999450683594,134.6199951171875,369.6700134277344,143.1999969482422,242.83999633789062,332.7099914550781,488.8800048828125,58.25,461.94000244140625,248.11000061035156
2023-11-16,189.7100067138672,136.92999267578125,376.1700134277344,142.8300018310547,233.58999633789062,334.19000244140625,494.79998779296875,56.81999969482422,466.95001220703125,248.57000732421875
2023-11-17,189.69000244140625,135.30999755859375,369.8500061035156,145.17999267578125,234.3000030517578,335.0400085449219,492.9800109863281,56.540000915527344,465.9100036621094,249.55999755859375
2023-11-20,191.4499969482422,136.25,377.44000244140625,146.1300048828125,235.60000610351562,339.9700012207031,504.0899963378906,56.9900016784668,474.4700012207031,249.97000122070312
2023-11-21,190.63999938964844,136.97000122070312,373.07000732421875,143.89999389648438,241.1999969482422,336.9800109863281,499.44000244140625,55.400001525878906,474.95001220703125,252.22999572753906
2023-11-22,191.30999755859375,138.49000549316406,377.8500061035156,146.7100067138672,234.2100067138672,341.489990234375,487.1600036621094,56.34000015258789,478.0,253.72000122070312
2023-11-24,189.97000122070312,136.69000244140625,377.42999267578125,146.74000549316406,235.4499969482422,338.2300109863281,477.760009765625,55.7599983215332,479.55999755859375,254.3000030517578
2023-11-27,189.7899932861328,136.41000366210938,378.6099853515625,147.72999572753906,236.0800018310547,334.70001220703125,482.4200134277344,56.38999938964844,479.1700134277344,254.13999938964844
2023-11-28,190.39999389648438,137.1999969482422,382.70001220703125,147.02999877929688,246.72000122070312,338.989990234375,478.2099914550781,58.470001220703125,479.0,252.94000244140625
2023-11-29,189.3699951171875,134.99000549316406,378.8500061035156,146.32000732421875,244.13999938964844,332.20001220703125,481.3999938964844,57.970001220703125,477.19000244140625,254.22999572753906
2023-11-30,189.9499969482422,132.52999877929688,378.9100036621094,146.08999633789062,240.0800018310547,327.1499938964844,467.70001220703125,57.61000061035156,473.9700012207031,256.67999267578125
2023-12-01,191.24000549316406,131.86000061035156,374.510009765625,147.02999877929688,238.8300018310547,324.82000732421875,467.6499938964844,59.650001525878906,465.739990234375,256.45001220703125
2023-12-04,189.42999267578125,129.27000427246094,369.1400146484375,144.83999633789062,235.5800018310547,320.0199890136719,455.1000061035156,59.849998474121094,453.8999938964844,254.44000244140625
2023-12-05,193.4199981689453,130.99000549316406,372.5199890136719,146.8800048828125,238.72000122070312,318.2900085449219,465.6600036621094,57.91999816894531,455.1499938964844,254.61000061035156
2023-12-06,192.32000732421875,130.02000427246094,368.79998779296875,144.52000427246094,239.3699951171875,317.45001220703125,455.0299987792969,59.529998779296875,446.7300109863281,254.2899932861328
2023-12-07,194.27000427246094,136.92999267578125,370.95001220703125,146.8800048828125,242.63999938964844,326.5899963378906,465.9599914550781,58.47999954223633,452.0,255.82000732421875
2023-12-08,195.7100067138672,134.99000549316406,374.2300109863281,147.4199981689453,243.83999633789062,332.75,475.05999755859375,58.939998626708984,453.760009765625,255.74000549316406
2023-12-11,193.17999267578125,133.2899932861328,371.29998779296875,145.88999938964844,239.74000549316406,325.2799987792969,466.2699890136719,59.040000915527344,459.8900146484375,256.5199890136719
2023-12-12,194.7100067138672,132.52000427246094,374.3800048828125,147.47999572753906,237.00999450683594,334.2200012207031,476.57000732421875,58.88999938964844,463.0,259.55999755859375
2023-12-13,197.9600067138672,132.57000732421875,374.3699951171875,148.83999633789062,239.2899932861328,334.739990234375,480.8800048828125,61.72999954223633,479.9800109863281,262.3800048828125
2023-12-14,198.11000061035156,131.94000244140625,365.92999267578125,147.4199981689453,251.0500030517578,333.1700134277344,483.5,61.869998931884766,469.8299865722656,258.7300109863281
2023-12-15,197.57000732421875,132.60000610351562,370.7300109863281,149.97000122070312,253.5,334.9200134277344,488.8999938964844,61.2599983215332,472.05999755859375,258.0299987792969
2023-12-18,195.88999938964844,135.8000030517578,372.6499938964844,154.07000732421875,252.0800018310547,344.6199951171875,500.7699890136719,61.470001220703125,486.1199951171875,258.3699951171875
2023-12-19,196.94000244140625,136.64999389648438,373.260009765625,153.7899932861328,257.2200012207031,350.3599853515625,496.0400085449219,63.0099983215332,495.0199890136719,259.989990234375
2023-12-20,194.8300018310547,138.33999633789062,370.6199951171875,152.1199951171875,247.13999938964844,349.2799987792969,481.1099853515625,61.7400016784668,489.2699890136719,257.1099853515625
